Estab_Category,Previous_Org,HQ
5,Yes,Yes
4,Yes,Yes
4,Yes,Yes
4,Yes,Yes
4,Yes,Yes
3,Yes,Yes
3,Yes,Yes
3,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
2,Yes,Yes
5,No,Yes
4,No,Yes
4,No,Yes
4,No,Yes
4,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
3,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
2,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
1,No,Yes
4,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
3,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
2,Yes,No
4,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
3,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
2,No,No
